leaderboard,timestamp,tier,score
leagues,2020-04-20T18:36:08Z,0,42.0
leagues,2020-04-27T18:23:07Z,0,26.0
leagues,2020-05-04T15:40:36Z,0,66.0
leagues,2020-05-11T16:57:59Z,0,57.0
leagues,2020-05-18T19:54:56Z,0,44.0
leagues,2020-05-25T18:10:47Z,0,53.0
leagues,2020-06-03T16:27:24Z,0,28.0
leagues,2020-06-08T18:41:16Z,0,38.0
leagues,2020-06-15T05:44:17Z,0,69.0
leagues,2020-06-22T13:38:50Z,0,58.0
leagues,2020-06-29T16:28:12Z,0,62.0
leagues,2020-07-06T17:00:14Z,0,72.0
leagues,2020-07-13T17:55:22Z,0,71.0
leagues,2020-07-20T18:18:37Z,0,77.0
leagues,2020-07-28T18:29:12Z,1,98.0
leagues,2020-08-03T18:00:58Z,1,48.0
leagues,2020-08-10T13:46:04Z,1,37.0
leagues,2020-08-17T17:56:05Z,1,68.0
leagues,2020-08-26T16:10:50Z,1,46.0
leagues,2020-09-02T17:34:48Z,1,27.0
leagues,2020-09-07T14:51:48Z,1,58.0
leagues,2020-09-14T18:35:32Z,1,80.0
leagues,2020-09-21T16:21:02Z,1,56.0
leagues,2020-10-01T17:31:23Z,1,59.0
leagues,2020-10-07T18:17:12Z,1,41.0
leagues,2021-06-23T18:08:29Z,1,29.0
leagues,2023-04-27T18:59:57Z,1,83.0
leagues,2023-05-03T16:13:04Z,2,55.0
leagues,2023-05-08T15:48:20Z,2,96.0
leagues,2023-05-15T14:34:31Z,2,128.0
leagues,2023-05-25T19:11:20Z,3,51.0
leagues,2023-05-29T18:49:49Z,3,159.0
leagues,2023-06-06T17:09:56Z,4,81.0
leagues,2023-06-12T14:52:57Z,4,101.0
leagues,2023-06-19T15:24:14Z,4,54.0
leagues,2023-06-27T15:45:13Z,3,58.0
leagues,2023-07-03T17:59:59Z,3,67.0
leagues,2023-07-10T17:12:09Z,2,65.0
leagues,2023-07-17T16:40:07Z,1,65.0
leagues,2023-07-24T16:37:41Z,1,162.0
leagues,2023-07-31T16:01:05Z,2,49.0
leagues,2023-08-07T16:14:45Z,1,174.0
leagues,2023-08-14T18:15:22Z,2,70.0
leagues,2023-08-21T15:42:43Z,1,305.0
leagues,2023-08-28T13:32:14Z,2,353.0
leagues,2023-09-04T13:28:14Z,2,233.0
leagues,2023-09-11T14:25:55Z,2,388.0
leagues,2023-09-18T16:58:20Z,3,345.0
leagues,2023-09-25T13:32:27Z,3,812.0
leagues,2023-10-02T15:39:33Z,4,562.0
leagues,2023-10-09T08:26:37Z,4,402.0
leagues,2023-10-16T13:23:07Z,4,371.0
leagues,2023-10-23T13:43:32Z,5,549.0
leagues,2023-10-30T16:52:06Z,6,697.0
leagues,2023-11-06T04:32:55Z,6,1190.0
leagues,2023-11-13T05:45:50Z,6,826.0
leagues,2023-11-20T04:30:22Z,5,462.0
leagues,2023-11-27T14:09:38Z,4,542.0
leagues,2023-12-04T17:18:42Z,4,635.0
leagues,2023-12-11T05:53:00Z,4,499.0
leagues,2023-12-18T04:58:57Z,4,845.0
leagues,2023-12-25T05:40:14Z,5,918.0
leagues,2024-01-01T05:31:06Z,5,760.0
leagues,2024-01-08T05:18:52Z,5,467.0
leagues,2024-01-15T06:33:20Z,5,545.0
leagues,2024-01-22T06:46:41Z,6,361.0
leagues,2024-01-29T05:40:42Z,6,729.0
leagues,2024-02-05T04:25:59Z,7,1193.0
leagues,2024-02-12T11:06:14Z,8,701.0
leagues,2024-02-19T05:52:59Z,7,837.0
leagues,2024-02-27T06:37:39Z,7,326.0
leagues,2024-03-04T05:26:42Z,7,893.0
leagues,2024-03-11T06:20:42Z,8,593.0
leagues,2024-03-18T15:13:46Z,8,709.0
leagues,2024-03-25T15:12:31Z,9,625.0
leagues,2024-04-01T12:09:48Z,9,553.0
leagues,2024-04-08T05:11:45Z,8,523.0
leagues,2024-04-15T04:23:07Z,8,541.0
leagues,2024-04-22T05:15:57Z,8,318.0
leagues,2024-04-29T07:40:36Z,8,784.0
leagues,2024-05-06T06:38:09Z,8,1092.0
leagues,2024-05-13T08:02:13Z,8,1001.0
leagues,2024-05-20T10:59:50Z,8,876.0
leagues,2024-05-27T11:45:53Z,8,981.0
leagues,2024-06-03T08:17:12Z,8,974.0
leagues,2024-06-10T10:54:44Z,8,231.0
